Index,Day,Time,Probability,Boosted Probability,Boosted People,Special Notes,Type,Michael,Jacob,Gavin,Lawrence,Nathan,Gabby,Raymond,Chris,Kurumi,Ethan,Chloe,Aidan,Justin,Lilly,Mudkip,Will,James,Denzel,Michael_mult,Jacob_mult,Gavin_mult,Lawrence_mult,Nathan_mult,Gabby_mult,Raymond_mult,Chris_mult,Kurumi_mult,Ethan_mult,Chloe_mult,Aidan_mult,Justin_mult,Lilly_mult,Mudkip_mult,Will_mult,James_mult,Denzel_mult
85,Oct 30,20,NaN,NaN,NaN,candy shop,skip,25,NaN,NaN,-41,NaN,NaN,0,0,NaN,25,25,NaN,25,NaN,-22,25,-7,NaN,1,1.3,1.3,1,1.3,1.3,1,1,1,1,1,1.3,1,1.3,1,1,1,1
86,Oct 30,20,"{2:0.2, 5:0.2, 8:0.2, 12:0.2, 18:0.14, 30:0.05, 60:0.009, 200:0.001}",NaN,NaN,hearing aid harry,no_skip,5,8,12,12,8,8,8,2,NaN,18,NaN,NaN,12,NaN,18,NaN,NaN,NaN,1,1.3,1.3,1,1.3,1.3,1,1,1,1,1,1.3,1,1.3,1,1,1,1
87,Oct 31,0,"{2:0.2, 5:0.2, 8:0.2, 12:0.2, 18:0.14, 30:0.05, 60:0.009, 200:0.001}",NaN,NaN,hearing aid harry,no_skip,30,5,30,5,5,5,12,12,NaN,5,NaN,NaN,8,2,60,NaN,NaN,NaN,1,1.3,1.3,1,1.3,1.3,1,1,1,1,1,1.3,1,1.3,1,1,1,1
88,Oct 31,12,"{2:0.2, 5:0.2, 8:0.2, 12:0.2, 18:0.14, 30:0.05, 60:0.009, 200:0.001}",NaN,NaN,hearing aid harry,no_skip,12,5,5,2,12,12,12,12,NaN,5,NaN,NaN,12,NaN,NaN,2,NaN,NaN,1,1.3,1.3,1,1.3,1.3,1,1,1,1,1,1.3,1,1.3,1,1,1,1
89,Oct 31,20,"{2:0.2, 5:0.2, 8:0.2, 12:0.2, 18:0.14, 30:0.05, 60:0.009, 200:0.001}",NaN,NaN,hearing aid harry,no_skip,5,5,NaN,NaN,12,12,NaN,8,NaN,8,NaN,NaN,NaN,NaN,30,NaN,NaN,NaN,1,1.3,1.3,1,1.3,1.3,1,1,1,1,1,1.3,1,1.3,1,1,1,1
90,Oct 31,23,"{2:0.2, 5:0.2, 8:0.2, 12:0.2, 18:0.14, 30:0.05, 60:0.009, 200:0.001}",NaN,NaN,hearing aid harry,no_skip,NaN,8,NaN,8,NaN,NaN,NaN,18,NaN,30,NaN,NaN,NaN,NaN,5,NaN,NaN,NaN,1,1.3,1.3,1,1.3,1.3,1,1,1,1,1,1.3,1,1.3,1,1,1,1
91,Nov 1,0,"{20:0.5, 0:0.5}",NaN,NaN,house wars losers finals: Big D*** Candy N vs Kogi's Disposed Testicles,no_skip,NaN,NaN,NaN,NaN,0,20,0,0,20,NaN,20,NaN,NaN,20,NaN,0,NaN,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
92,Nov 1,0,"{35:0.5, 0:0.5}",NaN,NaN,"house wars grand finals: The Lolli-POPPERS vs Kogi's Disposed Testicles, jacob -5 for postmatch behavior",no_skip,35,35,NaN,35,NaN,0,NaN,NaN,0,NaN,0,NaN,35,0,NaN,NaN,NaN,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
93,Nov 1,0,NaN,NaN,NaN,penalty,skip,NaN,-5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
94,Nov 1,0,"{103:1/19, 0:18/19}",NaN,NaN,pick a number,no_skip,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,NaN,1,1.3,1.3,1,1.3,1.3,1,1,1,1,1,1.3,1,1.3,1,1,1,1
95,Nov 1,0,NaN,NaN,NaN,pharaoh's curse,skip,NaN,NaN,0,0,0,NaN,0,NaN,NaN,NaN,NaN,0,NaN,NaN,0,0,0,NaN,1,1.3,1.3,1,1.3,1.3,1,1,1,1,1,1.3,1,1.3,1,2,1,1
96,Nov 1,0,"{31:0.5, 0:0.5}",NaN,NaN,pick a cup,no_skip,31,31,0,0,31,31,31,0,0,31,31,0,31,NaN,0,0,31,NaN,1,1.3,1.3,1,1.3,1.3,1,1,1,1,1,1.3,1,1.3,1,2,1,1
97,Nov 1,0,"{67:0.16, 0:0.84}",NaN,NaN,pick a door,no_skip,67,67,0,0,0,0,0,0,NaN,0,0,0,0,0,0,67,0,NaN,1,1.3,1.3,1,1.3,1.3,1,1,1,1,1,1.3,1,1.3,1,2,1,1
98,Nov 1,0,"{61:0.25, 0:0.75}",NaN,NaN,horse derby,no_skip,0,0,0,0,0,0,0,61,NaN,61,0,0,0,0,61,0,61,NaN,1,1.3,1.3,1,1.3,1.3,1,1,1,1,1,1.3,1,1.3,1,2,1,1
